LINE_NUMBER,STATION_NAME,REGISTERED_DATE,DATE,PASSENGER_IN,PASSENGER_OUT
6,Leetaewon,20200621,2020-06-18,7745,8138
6,Leetaewon,20200620,2020-06-17,7638,7914
6,Leetaewon,20200619,2020-06-16,7614,7758
6,Leetaewon,20200618,2020-06-15,7610,7917
6,Leetaewon,20200617,2020-06-14,5150,4930
6,Leetaewon,20200616,2020-06-13,6216,6653
6,Leetaewon,20200615,2020-06-12,8208,8768
6,Leetaewon,20200614,2020-06-11,7561,7779
6,Leetaewon,20200613,2020-06-10,7397,7687
6,Leetaewon,20200612,2020-06-09,7278,7593
6,Leetaewon,20200611,2020-06-08,7273,7339
6,Leetaewon,20200610,2020-06-07,4884,4614
6,Leetaewon,20200609,2020-06-06,5482,5681
6,Leetaewon,20200608,2020-06-05,7795,8267
6,Leetaewon,20200607,2020-06-04,7429,7750
6,Leetaewon,20200606,2020-06-03,7249,7635
6,Leetaewon,20200605,2020-06-02,6997,7166
6,Leetaewon,20200604,2020-06-01,7358,7410
6,Leetaewon,20200603,2020-05-31,4233,4083
6,Leetaewon,20200602,2020-05-30,5352,5425
6,Leetaewon,20200601,2020-05-29,7014,7393
6,Leetaewon,20200531,2020-05-28,6902,6945
6,Leetaewon,20200530,2020-05-27,6799,6870
6,Leetaewon,20200529,2020-05-26,6666,6853
6,Leetaewon,20200528,2020-05-25,6760,6723
6,Leetaewon,20200527,2020-05-24,4645,4375
6,Leetaewon,20200526,2020-05-23,5126,5310
6,Leetaewon,20200525,2020-05-22,6897,7033
6,Leetaewon,20200524,2020-05-21,6363,6466
6,Leetaewon,20200523,2020-05-20,5985,6126
6,Leetaewon,20200522,2020-05-19,5768,5832
6,Leetaewon,20200521,2020-05-18,5716,5660
6,Leetaewon,20200520,2020-05-17,3528,3396
6,Leetaewon,20200519,2020-05-16,4123,3987
6,Leetaewon,20200518,2020-05-15,5559,5607
6,Leetaewon,20200517,2020-05-14,5417,5468
6,Leetaewon,20200516,2020-05-13,5563,5595
6,Leetaewon,20200515,2020-05-12,5966,6024
6,Leetaewon,20200514,2020-05-11,6335,6412
6,Leetaewon,20200513,2020-05-10,4188,4027
6,Leetaewon,,2020-05-09,5289,5516
6,Leetaewon,,2020-05-08,8296,8862
6,Leetaewon,,2020-05-07,8999,9599
6,Leetaewon,,2020-05-06,9492,9873
6,Leetaewon,,2020-05-05,9745,9336
6,Leetaewon,,2020-05-04,10470,12988
6,Leetaewon,,2020-05-03,10445,9602
6,Leetaewon,,2020-05-02,12485,16013
6,Leetaewon,,2020-05-01,11533,14452
